Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type,Final URL
Keyword,Add,Enabled,Hat Can - Search,Brand,a better hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Brand,a better hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Brand,api hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Brand,api hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Brand,api plastics hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,cowboy hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,cowboy hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,western hat can,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,western hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,hat can carrier,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Hat can,cowboy hat can carrier,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat case,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat case,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat travel case,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat travel case,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat carrier,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,cowboy hat carrier,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,hat case for travel,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,fly with a cowboy hat,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Travel case,pack cowboy hat airplane,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,cowboy hat storage,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,cowboy hat storage,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,stackable hat case,Exact match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,stackable hat can,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,hat can 5 inch brim,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
Keyword,Add,Enabled,Hat Can - Search,Storage,wide brim hat case,Phrase match,https://moonridgecompany.com/products/a-better-hat-can
