Row Type,Action,Keyword status,Level,Campaign,Ad group,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,cheap,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,diy,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,cardboard,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,kids,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,child,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,toy,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,baseball,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,trucker,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,fitted cap,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,snapback,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,fedora box,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,amazon,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,used,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,rental,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,free,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,how to make,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,pattern,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,svg,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,cricut,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,helmet,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,hard hat,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,construction,Phrase match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,hat,Exact match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,cowboy hat,Exact match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,stetson,Exact match
Negative keyword,Add,Enabled,Campaign,Hat Can - Search,,buy cowboy hat,Exact match
