handle,title,vendor,media_id,old_alt,new_alt,image_url
haywood,Stetson Haywood 10X,STETSON,gid://shopify/MediaImage/43266731180336,,"Stetson Haywood 10X, shantung straw cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_ccd8f35c-bc82-43fb-8c0d-112c58f67f0e.png?v=1775504721
haywood,Stetson Haywood 10X,STETSON,gid://shopify/MediaImage/43266731245872,,"Stetson Haywood 10X, shantung straw cowboy hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_aaabe54a-d267-40a5-b478-230252886a1e.png?v=1775504721
haywood,Stetson Haywood 10X,STETSON,gid://shopify/MediaImage/43266731278640,,"Stetson Haywood 10X, shantung straw cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_d71fd940-3c7c-4e66-a581-85f79fe2d89a.png?v=1775504721
kings-row-peach-band,Stetson Kings Row,STETSON,gid://shopify/MediaImage/43858462081328,,"Stetson Kings Row, fur felt gambler hat in brown",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Kings_Row_Brown.png?v=1781674119
kings-row-peach-band,Stetson Kings Row,STETSON,gid://shopify/MediaImage/43858462114096,,"Stetson Kings Row, fur felt gambler hat in cream top view",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Kings_Row_Cream_Top_fbcfb1f3-8e12-451a-9eb4-72cbf52529fc.png?v=1781674119
kings-row-peach-band,Stetson Kings Row,STETSON,gid://shopify/MediaImage/43858462146864,,"Stetson Kings Row, fur felt gambler hat in chocolate",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Kings_Row_Brown2_070e1219-0bb5-4352-b588-9c402494fa13.png?v=1781674119
kings-row-peach-band,Stetson Kings Row,STETSON,gid://shopify/MediaImage/43858462179632,,"Stetson Kings Row, fur felt gambler hat in silver grey",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Kings_Row_Cream_996c7920-8f29-4aab-8819-4f5f8563ff18.png?v=1781674119
midtown,Stetson Midtown,STETSON,gid://shopify/MediaImage/42366990778672,,"Stetson Midtown, wool felt fedora in bone",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Midtown_4.webp?v=1762740170
midtown,Stetson Midtown,STETSON,gid://shopify/MediaImage/42367124144432,,"Stetson Midtown, wool felt fedora in cognac, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Midtown_5.webp?v=1762740303
midtown,Stetson Midtown,STETSON,gid://shopify/MediaImage/42367566709040,,"Stetson Midtown, wool felt fedora in stonewash",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Midtown_6.webp?v=1762740638
midtown,Stetson Midtown,STETSON,gid://shopify/MediaImage/42366982947120,,"Stetson Midtown, wool felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Midtown_2.webp?v=1762740638
midtown,Stetson Midtown,STETSON,gid://shopify/MediaImage/42366986584368,,"Stetson Midtown, wool felt fedora in burgundy",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Midtown_3.webp?v=1762740638
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757305648,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_721c8860-326d-4a65-8830-0bb4c64af4e3.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757338416,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_7b3ffdad-bcbe-47a4-b82d-f69c6133fdd7.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757371184,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_8c8b4375-c910-4130-ad64-24beacfb13f2.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757403952,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_0564472f-a28e-49a7-b5bf-ee741ee9d3a0.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757436720,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_38d6799f-9a11-4791-9330-628d2a63dc86.jpg?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757469488,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_ea31e33b-673b-442c-9c43-b10930b1d73b.jpg?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757502256,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease in silverbelly",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Open_Road_Silverbelly_7fa439cb-cbf6-4474-9488-b9c758d597a8.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757535024,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Open_Road_Black_d1b752dd-8487-4cf6-9013-fed7a7cd536c.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757567792,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease in cognac",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Open_Road_Brown_063f5191-14ef-4320-8680-7aae4af70127.png?v=1780876436
stetson-royal-deluxe-open-road,Stetson Royal Deluxe Open Road,STETSON,gid://shopify/MediaImage/43736757600560,,"Stetson Royal Deluxe Open Road, fur felt cattleman's crease in caribou",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Open_Road_Carabou_eddb2a5f-5806-4a09-9602-4f253222278e.png?v=1780876436
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266688876848,,"Stetson Skyline 6X, 6x fur felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Skyline1.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266688909616,,"Stetson Skyline 6X, 6x fur felt cowboy hat in granite grey, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Skyline.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266688942384,,"Stetson Skyline 6X, 6x fur felt cowboy hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Skyline_Black.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266688975152,,"Stetson Skyline 6X, 6x fur felt cowboy hat in silverbelly",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_7e739344-84c7-4add-98bc-80f865b6260f.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266689007920,,"Stetson Skyline 6X, 6x fur felt cowboy hat in sahara",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_b1609261-5c70-469e-ba5a-e833a7e8d88c.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266689040688,,"Stetson Skyline 6X, 6x fur felt cowboy hat in chocolate",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_74d27173-5f85-4863-9cfc-b3449a2e028c.png?v=1775503955
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266709946672,,"Stetson Skyline 6X, 6x fur felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_587a4c4d-ce10-4dba-9939-9a295c6c70bf.png?v=1775504244
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266710372656,,"Stetson Skyline 6X, 6x fur felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_296546c6-3f74-44cd-8a82-28047f53beed.png?v=1775504260
skyline,Stetson Skyline 6X,STETSON,gid://shopify/MediaImage/43266710700336,,"Stetson Skyline 6X, 6x fur felt cowboy hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/image_8600d348-b4a9-4288-aaea-81ef4107dab9.png?v=1775504265
bozeman,Stetson Bozeman,STETSON,gid://shopify/MediaImage/42368886735152,,"Stetson Bozeman, crushable wool hat in mushroom",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Bozeman_Mushroom.webp?v=1762742640
bozeman,Stetson Bozeman,STETSON,gid://shopify/MediaImage/42368884474160,,"Stetson Bozeman, crushable wool hat in light brown",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Bozeman_Light_Brown_2.webp?v=1762742640
bozeman,Stetson Bozeman,STETSON,gid://shopify/MediaImage/42368877658416,,"Stetson Bozeman, crushable wool hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Bozeman_Black.webp?v=1762742640
bozeman,Stetson Bozeman,STETSON,gid://shopify/MediaImage/42368889618736,,"Stetson Bozeman, crushable wool hat in steel",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/Bozeman_Steel.webp?v=1762742729
open-road-25,Stetson Open Road 6X,STETSON,gid://shopify/MediaImage/43736767693104,,"Stetson Open Road 6X, 6x straw cattleman's crease in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/OpenRoadStraw25_1.png?v=1780876542
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763690288,,"Stetson Laurel Hill Felt, wool felt fedora in eucalyptus",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336EU.webp?v=1773050650
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763755824,,"Stetson Laurel Hill Felt, wool felt fedora in stonewash, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336S9_ALT02.webp?v=1773050650
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763591984,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336EU_ALT01.webp?v=1773050649
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763624752,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336EU_ALT02.webp?v=1773050649
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763657520,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336EU_ALT03.webp?v=1773050649
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763723056,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336S9_ALT01.webp?v=1773050649
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763788592,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336S9_ALT03.webp?v=1773050650
laurel-hill,Stetson Laurel Hill Felt,STETSON,gid://shopify/MediaImage/43034763821360,,"Stetson Laurel Hill Felt, wool felt fedora",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XWLRLH-0336S9.webp?v=1773050650
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886842160,,"Stetson Kambra, shantung straw hat in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133607_ALT2.webp?v=1775525064
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886678320,,"Stetson Kambra, shantung straw hat, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133607_ALT1.webp?v=1775525064
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886711088,,"Stetson Kambra, shantung straw hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133681_ALT2.webp?v=1775525064
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886743856,,"Stetson Kambra, shantung straw hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133607_ALT3.webp?v=1775525064
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886776624,,"Stetson Kambra, shantung straw hat",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133681_ALT5.jpg?v=1775525064
kambra,Stetson Kambra,STETSON,gid://shopify/MediaImage/43267886809392,,"Stetson Kambra, shantung straw hat in natural",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/XSKMBR-133681_ALT1.webp?v=1775525064
pawnee,Stetson Pawnee 5X,STETSON,gid://shopify/MediaImage/43843688890672,,"Stetson Pawnee 5X, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/2bde0f137402254c61a883358df983ee_6175293f-bf1a-4c9f-abf3-9b3f615bb5ee.webp?v=1781580330
pawnee,Stetson Pawnee 5X,STETSON,gid://shopify/MediaImage/43843688923440,,"Stetson Pawnee 5X, fur felt fedora, another angle",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/d64e3b2c805850fd8f673fedbcd11b6e_e96dac7c-3d43-4c20-b1ce-f3b6f9db6009.webp?v=1781580330
pawnee,Stetson Pawnee 5X,STETSON,gid://shopify/MediaImage/43843688956208,,"Stetson Pawnee 5X, fur felt fedora in black",https://cdn.shopify.com/s/files/1/0885/7180/6000/files/286ed3b018db79c4d6d2488804a1b878_98d697bb-7fdc-419c-b1ab-99b1512a52b8.webp?v=1781580330
